产品,穿透后投向(元),前5大集中度%,前10大集中度%,前5大持仓
灵动多空1号,11099807.13,24.58,40.58,新宙邦(5.8%)、苏常柴A(5.5%)、卫星化学(5.2%)、信维通信(4.3%)、华峰测控(3.8%)
灵动多空2号,11040016.46,36.71,49.79,博时可转债ETF(16.3%)、华泰柏瑞上证红利ETF(6.6%)、海富通上证5年期地方政府债ETF(4.6%)、平安中高等级公司债利差因子ETF(4.6%)、华安中债1-5年国开行债券ETF(4.6%)
全周期尊享1号,20080392.97,19.6,29.82,博时可转债ETF(5.8%)、国泰上证5年期国债ETF(4.8%)、华安日经225ETF(3.3%)、华安法国CAC40ETF(2.9%)、海富通上证城投债ETF(2.8%)
稳健一号,9557968.62,21.65,31.84,博时可转债ETF(11.3%)、新宙邦(2.8%)、华安日经225ETF(2.6%)、国泰上证5年期国债ETF(2.5%)、卫星化学(2.4%)
量化进取,6343923.19,26.49,36.82,转债ETF(15.4%)、日经225(3.2%)、国债ETF(2.9%)、IC2609(2.5%)、新宙邦(2.5%)
金牛优选,25989132.17,21.38,32.99,博时可转债ETF(5.5%)、五矿期货宏观量化股指转债一号集合资产管理计划(4.9%)、国泰上证5年期国债ETF(4.3%)、华安日经225ETF(3.3%)、华安法国CAC40ETF(3.2%)
进取3号,16111268.07,26.91,38.12,国债ETF(7.1%)、法国ETF(5.0%)、转债ETF(5.0%)、城投ETF(5.0%)、日经225(4.8%)
金牛优选2号,19970401.92,21.17,34.18,转债ETF(8.0%)、华夏中证电网设备主题ETF(3.7%)、日经225(3.3%)、电网ETF(3.1%)、法国ETF(3.1%)
进取2号,15553225.48,44.55,54.49,转债ETF(30.0%)、华安中债1-5年国开债ETF(4.0%)、5年地债(4.0%)、公司债(4.0%)、上证380(2.5%)
稳健2号,27113075.67,22.74,34.66,博时可转债ETF(6.0%)、国泰上证5年期国债ETF(5.8%)、海富通上证城投债ETF(4.0%)、华安日经225ETF(3.7%)、华安法国CAC40ETF(3.2%)
