产品,成立,2026以来最大回撤,VaR99%周度,VaR95%周度(参考),历史最大回撤,最长回撤期(天),最长回撤期间,2025收益率,2025波动率
闻道量化进取,2019-11-22,-4.68%,4.31%,2.25%,-14.81%,1414,2021-02-19 ~ 2025-01-03,-1.85%,8.18%
闻道进取3号,2021-11-19,-11.42%,4.43%,3.41%,-29.77%,1659,2021-12-10 ~ 2026-06-26（未恢复）,-3.82%,11.26%
闻道金牛优选2号,2021-12-24,-7.92%,5.00%,2.16%,-31.78%,287,2022-01-14 ~ 2022-10-28,5.93%,11.16%
闻道进取2号,2022-06-02,-4.58%,2.70%,1.98%,-13.45%,714,2022-08-12 ~ 2024-07-26,-4.42%,10.88%
闻道稳健2号,2022-10-28,-6.42%,1.89%,1.40%,-6.42%,357,2023-02-03 ~ 2024-01-26,-0.08%,7.16%
闻道金牛优选,2021-04-30,-7.75%,3.53%,2.48%,-17.66%,994,2021-12-10 ~ 2024-08-30,0.49%,11.13%
闻道灵动多空1号,2024-03-01,-5.80%,3.21%,2.65%,-16.39%,483,2025-02-28 ~ 2026-06-26（未恢复）,-4.02%,13.92%
闻道稳健一号,2019-07-05,-5.82%,3.59%,2.11%,-15.88%,1288,2021-02-19 ~ 2024-08-30,-1.03%,9.97%
闻道灵动多空2号,2024-12-13,-5.21%,4.44%,2.92%,-19.36%,490,2025-02-21 ~ 2026-06-26（未恢复）,-9.18%,13.88%
闻道全周期尊享1号,2025-03-21,-5.52%,3.80%,2.85%,-14.03%,441,2025-04-11 ~ 2026-06-26（未恢复）,-11.48%,9.53%
