date,PE-TTM,EPS
2016-07-29,8.33,460.99
2016-08-05,8.37,458.65
2016-08-12,8.67,454.94
2016-08-19,8.70,462.30
2016-08-26,8.66,457.49
2016-09-02,8.74,453.32
2016-09-09,8.70,458.27
2016-09-14,8.50,456.64
2016-09-23,8.61,457.94
2016-09-30,8.58,457.70
2016-10-14,8.66,460.94
2016-10-21,8.75,460.68
2016-10-28,8.69,463.51
2016-11-04,8.77,459.95
2016-11-11,8.73,470.79
2016-11-18,8.73,472.29
2016-11-25,9.04,470.91
2016-12-02,9.15,464.45
2016-12-09,9.15,462.48
2016-12-16,9.04,448.81
2016-12-23,9.02,446.89
2016-12-30,9.02,448.15
2017-01-06,9.18,446.72
2017-01-13,9.20,441.49
2017-01-20,9.33,441.75
2017-01-26,9.46,439.62
2017-02-03,9.37,440.84
2017-02-10,9.47,444.34
2017-02-17,9.51,443.73
2017-02-24,9.62,446.74
2017-03-03,9.49,448.71
2017-03-10,9.45,449.00
2017-03-17,9.48,450.11
2017-03-24,9.58,454.54
2017-03-31,9.52,454.28
2017-04-07,9.69,454.85
2017-04-14,9.62,457.13
2017-04-21,9.58,456.07
2017-04-28,9.31,462.28
2017-05-05,9.12,463.54
2017-05-12,9.30,451.88
2017-05-19,9.25,460.85
2017-05-26,9.60,450.97
2017-06-02,9.66,448.98
2017-06-09,9.69,459.37
2017-06-16,9.47,460.72
2017-06-23,9.74,459.38
2017-06-30,9.81,461.29
2017-07-07,9.78,461.95
2017-07-14,9.93,457.80
2017-07-21,10.07,455.23
2017-07-28,10.17,450.67
2017-08-04,10.18,446.84
2017-08-11,9.97,450.60
2017-08-18,10.06,454.63
2017-08-25,10.49,443.11
2017-09-01,10.16,459.19
2017-09-08,10.21,455.30
2017-09-15,10.14,460.41
2017-09-22,10.25,457.75
2017-09-29,10.22,457.06
2017-10-13,10.33,458.98
2017-10-20,10.44,454.17
2017-10-27,10.45,460.03
2017-11-03,10.20,463.07
2017-11-10,10.20,474.48
2017-11-17,10.37,466.19
2017-11-24,10.50,456.98
2017-12-01,10.23,461.34
2017-12-08,10.19,458.78
2017-12-15,9.21,506.37
2017-12-22,9.40,501.63
2017-12-29,9.56,497.11
2018-01-05,9.79,501.74
2018-01-12,10.08,493.75
2018-01-19,10.61,476.76
2018-01-26,10.97,473.04
2018-02-02,10.98,461.18
2018-02-09,9.86,468.45
2018-02-14,10.03,472.41
2018-02-23,10.33,469.99
2018-03-02,9.90,483.11
2018-03-09,9.97,489.96
2018-03-16,9.80,491.17
2018-03-23,9.55,482.52
2018-03-30,9.28,495.93
2018-04-04,9.10,497.66
2018-04-13,9.20,495.76
2018-04-20,8.98,493.28
2018-04-27,8.98,494.62
2018-05-04,8.83,507.79
2018-05-11,9.10,504.19
2018-05-18,9.14,506.47
2018-05-25,8.80,517.07
2018-06-01,8.73,518.46
2018-06-08,8.68,517.21
2018-06-15,8.79,507.68
2018-06-22,8.58,500.17
2018-06-29,8.21,509.96
2018-07-06,8.03,499.69
2018-07-13,8.25,500.80
2018-07-20,8.27,502.53
2018-07-27,8.36,502.36
2018-08-03,8.08,494.31
2018-08-10,8.24,491.20
2018-08-17,7.87,492.43
2018-08-24,8.09,489.10
2018-08-31,7.96,498.93
2018-09-07,7.80,500.98
2018-09-14,7.81,499.66
2018-09-21,8.29,492.26
2018-09-28,8.35,491.80
2018-10-12,7.89,483.18
2018-10-19,7.88,476.38
2018-10-26,8.02,477.03
2018-11-02,7.96,492.17
2018-11-09,7.62,502.37
2018-11-16,7.67,515.99
2018-11-23,7.53,507.68
2018-11-30,7.58,507.79
2018-12-07,7.60,513.38
2018-12-14,7.59,513.44
2018-12-21,7.23,530.95
2018-12-28,7.26,528.55
2019-01-04,7.25,528.58
2019-01-11,7.30,537.29
2019-01-18,7.48,533.98
2019-01-25,7.60,528.10
2019-02-01,7.83,519.11
2019-02-15,7.77,535.58
2019-02-22,7.93,540.57
2019-03-01,8.38,536.97
2019-03-08,8.04,555.91
2019-03-15,8.15,561.27
2019-03-22,8.25,574.03
2019-03-29,8.22,576.92
2019-04-04,8.62,582.52
2019-04-12,8.48,589.05
2019-04-19,8.77,569.59
2019-04-26,8.32,565.36
2019-04-30,8.35,567.16
2019-05-10,8.01,564.71
2019-05-17,7.92,561.12
2019-05-24,7.94,553.81
2019-05-31,7.98,560.34
2019-06-06,7.98,539.42
2019-06-14,8.06,540.43
2019-06-21,8.25,539.58
2019-06-28,8.20,537.60
2019-07-05,8.28,544.30
2019-07-12,8.08,541.18
2019-07-19,8.08,539.28
2019-07-26,8.15,536.74
2019-08-02,7.95,534.68
2019-08-09,7.75,528.03
2019-08-16,7.76,535.29
2019-08-23,7.81,541.44
2019-08-30,7.68,546.42
2019-09-06,7.88,555.00
2019-09-12,7.92,554.94
2019-09-20,7.81,558.91
2019-09-27,7.72,545.99
2019-09-30,7.68,546.26
2019-10-11,7.90,546.07
2019-10-18,7.85,539.98
2019-10-25,7.98,537.40
2019-11-01,7.92,539.90
2019-11-08,7.93,539.20
2019-11-15,7.74,535.95
2019-11-22,7.74,539.99
2019-11-29,7.76,539.00
2019-12-06,7.78,542.04
2019-12-13,7.93,542.76
2019-12-20,7.76,560.60
2019-12-27,7.75,561.54
2020-01-03,7.92,568.16
2020-01-10,7.84,575.26
2020-01-17,7.73,582.03
2020-01-23,7.47,578.09
2020-02-07,7.16,576.10
2020-02-14,7.27,582.43
2020-02-21,7.38,595.37
2020-02-28,7.14,586.48
2020-03-06,7.37,598.38
2020-03-13,7.08,588.92
2020-03-20,6.78,586.88
2020-03-27,6.96,579.61
2020-04-03,6.84,582.23
2020-04-10,6.86,586.08
2020-04-17,6.94,582.65
2020-04-24,6.82,589.57
2020-04-30,7.20,567.79
2020-05-08,7.18,575.76
2020-05-15,7.08,574.42
2020-05-22,6.99,567.32
2020-05-29,7.06,567.11
2020-06-05,7.17,570.21
2020-06-12,7.10,568.17
2020-06-19,7.09,580.60
2020-06-24,7.09,575.44
2020-07-03,7.44,577.93
2020-07-10,7.53,595.61
2020-07-17,7.24,604.66
2020-07-24,7.13,607.51
2020-07-31,7.19,621.29
2020-08-07,7.25,625.12
2020-08-14,7.35,621.13
2020-08-21,7.34,624.36
2020-08-28,7.41,625.87
2020-09-04,7.78,590.52
2020-09-11,7.73,579.00
2020-09-18,7.93,580.32
2020-09-25,7.67,573.77
2020-09-30,7.69,571.45
2020-10-09,7.74,580.27
2020-10-16,7.96,578.83
2020-10-23,8.00,561.07
2020-10-30,7.70,575.82
2020-11-06,8.03,578.14
2020-11-13,8.02,588.96
2020-11-20,8.21,593.79
2020-11-27,8.49,573.44
2020-12-04,8.44,574.50
2020-12-11,8.08,582.23
2020-12-18,7.54,625.48
2020-12-25,7.42,621.93
2020-12-31,7.48,614.26
2021-01-08,7.61,606.00
2021-01-15,7.80,590.13
2021-01-22,7.68,602.19
2021-01-29,7.58,584.26
2021-02-05,7.77,572.68
2021-02-10,7.91,579.33
