date,csi_close,dca_amount,shares_bought,cum_invested,cum_shares,market_value,pnl,return_rate
2026-07-10,32620.210000,9500,0.291230,9500,0.291230,9499.983758,-0.016242,-0.000171
2026-07-17,31554.240000,9500,0.301069,19000,0.592299,18689.544798,-310.455202,-1.633975
2026-07-24,32210.400000,9500,0.294936,28500,0.887235,28578.194244,78.194244,0.274366
2026-07-29,32924.880000,9500,0.288536,38000,1.175771,38712.119082,712.119082,1.873998
2026-07-31,5569.410000,14000,2.513731,52000,3.689502,20548.349334,-31451.650666,-60.483944
2026-08-04,5459.340000,14000,2.564413,66000,6.253915,34142.248316,-31857.751684,-48.269321
2026-08-05,5447.980000,14000,2.569760,80000,8.823675,48071.204926,-31928.795074,-39.910994
2026-08-06,5513.670000,14000,2.539144,94000,11.362819,62650.834236,-31349.165764,-33.350176
2026-08-07,5492.400000,14000,2.548977,108000,13.911796,76409.148350,-31590.851650,-29.250789
2026-08-10,5565.380000,9500,1.706981,117500,15.618777,86924.429140,-30575.570860,-26.021762
2026-08-14,5478.390000,9500,1.734086,127000,17.352863,95065.751131,-31934.248869,-25.145078
2026-08-21,5579.340000,9500,1.702710,136500,19.055573,106317.520662,-30182.479338,-22.111706
2026-08-28,5691.520000,9500,1.669150,146000,20.724723,117955.175449,-28044.824551,-19.208784
2026-09-03,5679.780000,9500,1.672600,155500,22.397323,127211.867229,-28288.132771,-18.191725
2026-09-04,5648.280000,9500,1.681928,165000,24.079251,136006.351838,-28993.648162,-17.571908
2026-09-08,5609.730000,9500,1.693486,174500,25.772737,144578.095931,-29921.904069,-17.147223
2026-09-09,5703.430000,9500,1.665664,184000,27.438401,156492.999415,-27507.000585,-14.949457
2026-09-10,5685.830000,9500,1.670820,193500,29.109221,165510.082038,-27989.917962,-14.465074
2026-09-11,5595.240000,9500,1.697872,203000,30.807093,172373.079037,-30626.920963,-15.087153
2026-09-14,5567.440000,9500,1.706350,212500,32.513443,181016.643096,-31483.356904,-14.815697
2026-09-15,5551.330000,9500,1.711302,222000,34.224745,189992.853661,-32007.146339,-14.417633
2026-09-16,5489.090000,14000,2.550514,236000,36.775259,201862.706424,-34137.293576,-14.464955
2026-09-17,5485.980000,14000,2.551960,250000,39.327219,215748.336890,-34251.663110,-13.700665
2026-09-18,5464.760000,14000,2.561869,264000,41.889088,228913.812539,-35086.187461,-13.290223
2026-09-21,5502.530000,14000,2.544284,278000,44.433372,244495.962431,-33504.037569,-12.051812
2026-09-22,5522.760000,14000,2.534964,292000,46.968336,259394.847327,-32605.152673,-11.166148
2026-09-23,5494.490000,14000,2.548007,306000,49.516343,272067.051450,-33932.948550,-11.089199
