,2026-07-29,2026-07-30,2026-07-31,2026-08-03,2026-08-04,2026-08-05,2026-08-06,2026-08-07
159845 中证1000ETF华夏,,,,,,,,4425425606.0
159915 创业板ETF,,,,,,,,18768454936.0
159919 沪深300ETF嘉实,,,,,,,,6488316676.0
159949 创业板50ETF,,,,,,,,15498785113.0
510050 上证50ETF,7340166800.000001,7144866800.000001,7214166800.000001,7677666800.000001,7635366800.000001,7147566800.000001,7107966800.000001,
510180 上证180ETF,4421557700.0,4422057700.0,4424057700.0,4429057700.0,4429557700.0,4426557700.0,4422057700.0,
510300 沪深300ETF华泰柏瑞,25947487700.0,26483887700.0,26466787700.0,27058087700.0,26530687700.0,25937587700.0,25705387700.0,
510310 沪深300ETF易方达,11574644000.0,11658344000.0,11662844000.0,11796044000.0,11716844000.0,11607944000.0,11631344000.0,
510330 沪深300ETF华夏,8649249800.0,8712249800.0,8714049800.0,8785149800.0,8762649800.0,8718549800.0,8737449800.0,
510500 中证500ETF,6234968600.0,5988168600.0,6188168600.0,6311768600.0,6252968600.0,6104968600.0,5732168600.0,
510880 红利ETF,7219175699.999999,6992175699.999999,6909675699.999999,6876675699.999999,6795175699.999999,6669675699.999999,6484675699.999999,
512100 中证1000ETF南方,11055217600.0,11331217600.0,11401217600.0,11741217600.0,12251217600.0,11873217600.0,10557217600.0,
512880 证券ETF,56997291500.0,56910291500.0,56936291500.0,57029291500.0,57470291500.0,57711291500.0,58031291500.0,
512890 中证红利ETF,29391110800.0,28968110800.0,28926110800.0,28845110800.0,28580110800.0,27875110800.0,27833110800.0,
588000 科创50ETF,50474668200.0,53900668200.0,51434668200.0,53840668200.0,52859668200.0,50768668200.0,50288668200.0,
588080 科创50ETF易方达,23866628100.0,24766628100.0,24250628100.0,25030628100.0,24799628100.0,24259628100.0,24079628100.0,
