date,大盘价值,大盘成长,中盘价值,中盘成长,小盘价值,小盘成长,沪深300,上证指数,中证500,中证1000,上证50,创业板指,中证红利
2010-01-07,,,4052.4130,4368.2660,4072.9810,4547.0860,3471.4560,3192.7760,4459.1550,,2463.7580,,3480.2830
2010-01-08,,,4074.8250,4395.0090,4126.6380,4613.4320,3480.1300,3195.9970,4514.4520,,2466.1650,,3478.9160
2010-01-11,,,4078.9590,4406.6910,4164.7260,4667.3230,3482.0520,3212.7500,4542.9490,,2478.8100,,3476.1330
2010-01-12,,,4167.1580,4502.9480,4259.2570,4767.0710,3534.9160,3273.9660,4639.6320,,2508.0390,,3541.3910
2010-01-13,,,4101.0220,4414.5240,4208.7030,4704.4660,3421.1440,3172.6580,4591.0240,,2399.6420,,3427.6900
2010-01-14,,,4182.6330,4502.0260,4322.2650,4831.7350,3469.0510,3215.5500,4714.1000,,2422.7710,,3478.3600
2010-01-15,,,4225.6080,4538.8120,4359.6060,4873.7970,3482.7380,3224.1520,4747.6480,,2427.8070,,3483.3170
2010-01-18,,,4286.7250,4601.4050,4436.1570,4969.6580,3500.6840,3237.0980,4829.0620,,2421.1880,,3515.6230
2010-01-19,,,4278.6790,4617.0900,4430.2230,4961.6890,3507.4820,3246.8740,4830.0160,,2432.7130,,3520.8780
2010-01-20,,,4113.5130,4445.6750,4296.7610,4774.3570,3394.4340,3151.8500,4651.0740,,2359.4850,,3407.7330
2010-01-21,,,4128.0480,4443.2180,4300.2130,4780.3710,3408.5740,3158.8630,4667.2090,,2377.7530,,3412.3840
2010-01-22,,,3999.6990,4326.7720,4178.8650,4644.5210,3366.1970,3128.5880,4537.8800,,2380.0550,,3370.2000
2010-01-25,,,3953.2180,4251.7340,4120.8060,4567.6780,3328.0140,3094.4110,4481.1600,,2353.4710,,3321.6090
2010-01-26,,,3809.4470,4102.4080,3961.1780,4396.3730,3242.7970,3019.3940,4294.3830,,2311.4470,,3238.7980
2010-01-27,,,3781.1870,4069.3020,3933.1580,4364.1550,3198.5660,2986.6070,4267.1130,,2264.6050,,3196.6010
2010-01-28,,,3835.7960,4124.7430,3994.3320,4425.9250,3206.5700,2994.1430,4336.3810,,2252.6100,,3197.5910
2010-01-29,,,3865.4120,4148.3330,4028.8810,4453.1030,3204.1550,2989.2920,4374.6490,,2243.9940,,3197.6970
2010-02-01,,,3820.9710,4071.7830,3981.2690,4393.2260,3152.7070,2941.3600,4331.3660,,2208.9360,,3139.1040
2010-02-02,,,3784.2680,4047.4030,3955.1070,4376.7110,3146.1890,2934.7130,4301.7680,,2214.0330,,3132.7290
2010-02-03,,,3855.2060,4147.4040,4022.4360,4458.1100,3230.7150,3003.8350,4363.0790,,2277.7980,,3222.6360
2010-02-04,,,3864.0630,4156.5710,4072.5830,4503.5560,3218.8020,2995.3080,4408.4410,,2261.3580,,3205.0260
2010-02-05,,,3763.8480,4072.5600,3978.7920,4410.5710,3153.0870,2939.4020,4311.2930,,2219.6000,,3135.6500
2010-02-08,,,3772.7560,4085.8520,3975.4410,4397.1280,3150.9880,2935.1740,4310.8940,,2211.1350,,3139.1140
2010-02-09,,,3779.2880,4118.0430,3980.7730,4418.0070,3169.1900,2948.8420,4311.8910,,2229.0380,,3162.0110
2010-02-10,,,3848.3830,4170.0710,4035.9070,4468.7890,3214.1300,2982.5000,4366.2500,,2259.9900,,3195.4160
2010-02-11,,,3861.9370,4172.2040,4024.8930,4457.8620,3220.3980,2985.4990,4356.5170,,2265.1380,,3205.4620
2010-02-12,,,3909.6660,4218.1110,4075.5060,4508.8420,3251.2780,3018.1330,4416.2190,,2284.3860,,3242.1850
2010-02-22,,,3894.7740,4207.5070,4102.2060,4530.2290,3233.3450,3003.3980,4419.5470,,2269.0450,,3225.1620
2010-02-23,,,3900.1500,4231.5960,4150.3390,4580.7670,3198.6340,2982.5750,4459.1550,,2227.9520,,3207.4710
2010-02-24,,,3975.7800,4303.1500,4242.2340,4681.5950,3244.4830,3022.1770,4556.2810,,2251.7000,,3256.4490
2010-02-25,,,4042.5100,4361.9320,4317.9170,4747.9660,3292.1280,3060.6180,4629.9650,,2282.6400,,3289.5960
2010-02-26,,,4033.3700,4358.0780,4324.1910,4757.0480,3281.6660,3051.9430,4634.6710,,2274.3250,,3270.3480
2010-03-01,,,4073.4790,4397.2000,4377.8600,4814.8710,3324.4230,3087.8420,4686.2660,,2311.0750,,3311.5060
2010-03-02,,,4054.7860,4369.3170,4378.3590,4811.8840,3311.2360,3073.1080,4690.2930,,2302.1850,,3291.0890
2010-03-03,,,4103.2250,4431.9590,4428.5110,4880.6440,3335.0810,3097.0050,4758.4340,,2311.8410,,3316.4420
2010-03-04,,,3966.8140,4282.3720,4287.0670,4709.4360,3250.5730,3023.3730,4586.5230,,2261.9260,,3234.4420
