date,ndx,vix,ma_ratio,cnn,composite,zone,p_vix,p_ma,p_cnn,sc_vix,sc_ma,sc_cnn
2006-01-03,1679.9300,11.1400,1.0740,88.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-01-04,1695.8300,11.3700,1.0835,88.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-01-05,1705.2900,11.3100,1.0887,88.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-01-06,1734.9900,11.0000,1.1067,88.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-01-09,1741.9000,11.1300,1.1101,88.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-01-10,1744.0200,10.8600,1.1105,88.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-01-11,1758.2400,10.9400,1.1185,88.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-01-12,1747.3500,11.2000,1.1107,88.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-01-13,1746.7800,11.2300,1.1094,88.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-01-17,1736.3900,11.9100,1.1019,88.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-01-18,1716.6200,12.2500,1.0885,78.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-01-19,1729.9200,11.9800,1.0961,88.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-01-20,1676.3800,14.5600,1.0615,70.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-01-23,1676.3000,13.9300,1.0609,78.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-01-24,1686.2200,13.3100,1.0665,78.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-01-25,1677.0000,12.8700,1.0600,78.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-01-26,1690.4900,12.4200,1.0678,78.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-01-27,1711.1100,11.9700,1.0800,88.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-01-30,1713.4500,12.3900,1.0805,78.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-01-31,1710.7500,12.9500,1.0778,78.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-02-01,1713.0200,12.3600,1.0782,78.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-02-02,1685.7700,13.2300,1.0602,78.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-02-03,1664.5300,12.9600,1.0460,78.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-02-06,1657.5400,13.0400,1.0409,78.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-02-07,1651.8400,13.5900,1.0366,78.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-02-08,1670.4700,12.8300,1.0475,78.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-02-09,1654.0800,13.1200,1.0364,78.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-02-10,1663.7500,12.8700,1.0417,78.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-02-13,1645.8300,13.3500,1.0297,78.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-02-14,1661.9500,12.2500,1.0390,78.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-02-15,1673.1500,12.3100,1.0452,78.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-02-16,1688.6100,11.4800,1.0540,88.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-02-17,1675.2100,12.0100,1.0449,78.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-02-21,1655.6800,12.4100,1.0321,78.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-02-22,1677.5200,11.8800,1.0450,88.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-02-23,1672.2900,11.8700,1.0410,88.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-02-24,1676.5000,11.4600,1.0429,88.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-02-27,1695.6600,11.5900,1.0541,88.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-02-28,1670.5700,12.3400,1.0378,78.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-03-01,1694.5800,11.5400,1.0520,88.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-03-02,1693.7800,11.7200,1.0508,88.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-03-03,1684.3200,11.9600,1.0443,88.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-03-06,1669.9400,12.7400,1.0348,78.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-03-07,1661.0200,12.6600,1.0289,78.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-03-08,1661.8600,12.3200,1.0290,78.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-03-09,1645.0900,12.6800,1.0182,78.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-03-10,1648.2300,11.8500,1.0198,88.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-03-13,1653.7900,11.3700,1.0229,88.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-03-14,1681.1500,10.7400,1.0394,88.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-03-15,1694.4600,11.3500,1.0472,88.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-03-16,1679.0500,11.9800,1.0372,88.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-03-17,1685.6600,12.1200,1.0409,78.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-03-20,1688.9800,11.7900,1.0425,88.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-03-21,1672.4700,11.6200,1.0319,88.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-03-22,1676.3200,11.2100,1.0339,88.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-03-23,1670.7300,11.1700,1.0300,88.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-03-24,1679.8100,11.1900,1.0351,88.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-03-27,1680.6300,11.4600,1.0352,88.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-03-28,1673.0300,11.5800,1.0300,88.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
2006-03-29,1703.8400,10.9500,1.0484,88.0000,0.0000,⚪中性,50.0000,50.0000,50.0000,0,0,0
