order_id,account_type,account_index,strategy,code,datetime,side,style,time,price,lotsize,quantity,filled_quantity,unfilled_quantity,avg_price,status,message,commission_cost,friction_cost,ret
0,A share,0,order shares,513030.SH,2017-01-03,1,0,,0.99,100,2016900,2016900,0,0.9909899999999999,2,,239.84732771999998,2236.578327719588,0
1,A share,0,order shares,513100.SH,2017-01-03,1,0,,1.801,100,1108400,1108400,0,1.8028009999999997,2,,239.78695540799995,2236.015355407726,0
2,A share,0,order shares,518880.SH,2017-01-03,1,0,,2.626,100,760000,760000,0,2.6286259999999997,2,,239.73069119999997,2235.490691199666,0
3,A share,0,order shares,511220.SH,2017-01-03,1,0,,97.635,100,20400,20400,0,97.73263499999999,2,,239.24949047999996,2231.003490479663,0
4,A share,0,order shares,511010.SH,2017-01-03,1,0,,110.716,100,18000,18000,0,110.82671599999998,2,,239.38570656,2232.2737065597903,0
5,A share,0,order shares,518880.SH,2017-01-18,-1,0,,2.685,100,-12100,-12100,0,2.682315,2,,20.12272713,52.61122712999948,0
6,A share,0,order shares,511220.SH,2017-01-18,1,0,,97.28,100,200,200,0,97.37727999999998,2,,2.33705472,21.7930547199976,0
7,A share,0,order shares,511010.SH,2017-01-18,1,0,,110.54,100,100,100,0,110.65053999999999,2,,1.3278064799999998,12.381806479997977,0
8,A share,0,order shares,513100.SH,2017-01-18,-1,0,,1.832,100,-12400,-12400,0,1.830168,2,,14.070331584000002,36.78713158399833,0
9,A share,0,order shares,513030.SH,2017-01-18,1,0,,0.981,100,29800,29800,0,0.9819809999999999,2,,3.5115640559999997,32.745364055997925,0
10,A share,0,order shares,513030.SH,2017-02-09,-1,0,,0.994,100,-2046700,-2046700,0,0.9930059999999999,2,,1260.078935724,3294.4987357240325,0
11,A share,0,order shares,513100.SH,2017-02-09,-1,0,,1.894,100,-24700,-24700,0,1.8921059999999998,2,,28.975711284,75.75751128399702,0
12,A share,0,order shares,518880.SH,2017-02-09,-1,0,,2.74,100,-7400,-7400,0,2.73726,2,,12.558548879999998,32.834548880001655,0
13,A share,0,order shares,513500.SH,2017-02-09,1,0,,1.455,100,1392100,1392100,0,1.4564549999999998,2,,243.30372065999998,2268.8092206597794,0
14,A share,0,order shares,511010.SH,2017-02-09,1,0,,110.599,100,200,200,0,110.709599,2,,2.657030376,24.776830375998543,0
15,A share,0,order shares,511220.SH,2017-02-09,1,0,,95.9,100,500,500,0,95.99589999999999,2,,5.759754,53.70975399999588,0
