now,currency,cash,frozen_cash,total_returns,daily_returns,daily_pnl,market_value,dividend_receivable,total_value,units,units_net_value,static_unit_net_value,transaction_cost,pnl,start_date,annualized_returns
2016-12-31,CNY,10000000,0,0,0,0,0,0,10000000,0,0,0,0,0,2017-01-01,0
2017-01-03,CNY,15468.416519488574,0,-0.001117018348051002,-0.001117018348051049,-11170.183480510488,9973361.4,0,9988829.81651949,0,0,0,11171.361571366433,-11170.183480510488,2017-01-01,-0.12713978754907818
2017-01-04,CNY,15469.594700075437,0,-8.780052999235455e-05,0.0010303687588675684,10292.178180586547,9983652.4,0,9999121.994700076,0,0,0,11171.361571366433,-878.0052999239415,2017-01-01,-0.007980138379126478
2017-01-05,CNY,15470.772970400607,0,-0.0009108327029598851,-0.000823104441973738,-8230.321729674935,9975420.9,0,9990891.672970401,0,0,0,11171.361571366433,-9108.327029598877,2017-01-01,-0.06435681398604953
2017-01-06,CNY,15471.951330470918,0,-0.0011801248669527364,-0.00026953766771529406,-2692.9216399285942,9972726.8,0,9988198.751330473,0,0,0,11171.361571366433,-11801.248669527471,2017-01-01,-0.06931399399628968
2017-01-09,CNY,15473.129780293206,0,0.001222762978029257,0.0024057269031234714,24028.878449819982,9996754.5,0,10012227.629780293,0,0,0,11171.361571366433,12227.629780292511,2017-01-01,0.050808153655732324
2017-01-10,CNY,15474.308319874306,0,0.0035335108319873854,0.0023079258077245103,23107.478539582342,10019860.8,0,10035335.108319875,0,0,0,11171.361571366433,35335.10831987485,2017-01-01,0.1374009791069306
2017-01-11,CNY,15475.486949221056,0,0.004734408694921921,0.001196669418581641,12008.978629345074,10031868.6,0,10047344.08694922,0,0,0,11171.361571366433,47344.08694921993,2017-01-01,0.16967458669675217
2017-01-12,CNY,15476.665668340293,0,0.005990806566833928,0.001250477599890173,12563.978719118983,10044431.399999999,0,10059908.065668339,0,0,0,11171.361571366433,59908.06566833891,2017-01-01,0.1992264370371708
2017-01-13,CNY,15477.844477238854,0,0.0034089744477239226,-0.0025664569718297065,-25818.321191100404,10018611.9,0,10034089.744477239,0,0,0,11171.361571366433,34089.744477238506,2017-01-01,0.10026464881558805
2017-01-16,CNY,15479.023375923578,0,0.00663304233759221,0.0032131144647604875,32240.67889868468,10050851.4,0,10066330.423375923,0,0,0,11171.361571366433,66330.42337592319,2017-01-01,0.16278343390247607
2017-01-17,CNY,15480.202364401302,0,0.0035494002364402366,-0.003063322950328806,-30836.42101152055,10020013.8,0,10035494.002364403,0,0,0,11171.361571366433,35494.00236440264,2017-01-01,0.07904110855466895
2017-01-18,CNY,10786.20526915809,0,0.003932440526915659,0.0003816855357446326,3830.4029047545046,10028538.2,0,10039324.405269157,0,0,0,11327.680155336424,39324.40526915714,2017-01-01,0.08283735456871621
2017-01-19,CNY,10787.026820455085,0,0.0016733226820453417,-0.0022502687966578826,-22591.17844870314,10005946.2,0,10016733.226820454,0,0,0,11327.680155336424,16733.226820454,2017-01-01,0.03263991189547055
2017-01-20,CNY,10787.848434327056,0,0.0038454348434326935,0.002168483588612848,21721.12161387317,10027666.5,0,10038454.348434327,0,0,0,11327.680155336424,38454.34843432717,2017-01-01,0.07255601197766581
2017-01-23,CNY,10788.670110778769,0,0.006136637011078028,0.0022824252500611673,22912.02167645283,10050577.700000001,0,10061366.37011078,0,0,0,11327.680155336424,61366.37011078,2017-01-01,0.10195752627924715
2017-01-24,CNY,10789.491849814991,0,0.005019569184981476,-0.0011102545966470236,-11170.678260965273,10039406.2,0,10050195.691849815,0,0,0,11327.680155336424,50195.69184981473,2017-01-01,0.0791226230951747
2017-01-25,CNY,10790.313651440487,0,0.006058661365144102,0.0010339024353578686,10390.921801626682,10049796.3,0,10060586.613651441,0,0,0,11327.680155336424,60586.61365144141,2017-01-01,0.09219514930984829
2017-01-26,CNY,10791.135515660026,0,0.01543390355156582,0.009318782836877756,93752.42186421715,10143547.899999999,0,10154339.035515659,0,0,0,11327.680155336424,154339.03551565856,2017-01-01,0.23987832525319575
2017-01-27,CNY,10791.957442478375,0,0.015433985744247813,8.094340914616128e-08,0.8219268191605806,10143547.899999999,0,10154339.857442478,0,0,0,11327.680155336424,154339.85744247772,2017-01-01,0.2300451678477895
2017-01-30,CNY,10792.779431900302,0,0.01543406794318991,8.094956760768016e-08,0.8219894208014011,10143547.899999999,0,10154340.679431899,0,0,0,11327.680155336424,154340.67943189852,2017-01-01,0.20484001003222296
2017-01-31,CNY,10793.601483930577,0,0.015434150148392778,8.095572680143654e-08,0.8220520298928022,10143547.899999999,0,10154341.501483928,0,0,0,11327.680155336424,154341.5014839284,2017-01-01,0.19762035790974086
2017-02-01,CNY,10794.423598573967,0,0.015434232359857303,8.096188654399668e-08,0.8221146445721388,10143547.899999999,0,10154342.323598573,0,0,0,11327.680155336424,154342.32359857298,2017-01-01,0.1908912294145555
2017-02-02,CNY,10795.24577583524,0,0.015434314577583486,8.09680464684936e-08,0.8221772611141205,10143547.899999999,0,10154343.145775834,0,0,0,11327.680155336424,154343.1457758341,2017-01-01,0.1846043724012576
2017-02-03,CNY,10796.068015719165,0,0.012493596801571805,-0.0028960196969855232,-29407.177760116756,10114139.899999999,0,10124935.968015717,0,0,0,11327.680155336424,124935.96801571734,2017-01-01,0.14258302882568175
2017-02-06,CNY,10796.890318230515,0,0.013871839031822875,0.0013612355027281745,13782.422302512452,10127921.5,0,10138718.39031823,0,0,0,11327.680155336424,138718.3903182298,2017-01-01,0.145571188239084
2017-02-07,CNY,10797.712683374059,0,0.011983271268337425,-0.0018627282963979194,-18885.677634855732,10109035.0,0,10119832.712683374,0,0,0,11327.680155336424,119832.71268337406,2017-01-01,0.12122101385078876
2017-02-08,CNY,10798.535111154566,0,0.013214553511115446,0.0012167021706148769,12312.822427781299,10121347.0,0,10132145.535111155,0,0,0,11327.680155336424,132145.53511115536,2017-01-01,0.13073135817441783
2017-02-09,CNY,10951.28257141873,0,0.014192068257141921,0.000964765796779091,9775.147460263222,10130969.4,0,10141920.682571419,0,0,0,17078.06675626023,141920.68257141858,2017-01-01,0.13722634933708977
2017-02-10,CNY,10952.116696134122,0,0.01612793166961346,0.0019087739621138989,19358.634124716744,10150327.200000001,0,10161279.316696135,0,0,0,17078.06675626023,161279.31669613533,2017-01-01,0.15307515442999442
