code,industry,industry_code,datetime,market_price,lotsize,quantity,market_type,adjustment,sellable,market_value,value_percent,avg_price,realized_gain,dict_unreceived_dividend
513030.SH,None,None,2017-01-03,0.99,100,2016900,A share,U,2016900,1996731.0,0.19989638793303033,0.99,0,{}
513100.SH,None,None,2017-01-03,1.801,100,1108400,A share,U,1108400,1996228.4,0.19984607172890712,1.801,0,{}
518880.SH,None,None,2017-01-03,2.626,100,760000,A share,U,760000,1995760.0,0.19979917934925867,2.626,0,{}
511220.SH,None,None,2017-01-03,97.635,100,20400,A share,U,20400,1991754.0,0.19939813137130885,97.635,0,{}
511010.SH,None,None,2017-01-03,110.716,100,18000,A share,U,18000,1992888.0,0.19951165818284033,110.716,0,{}
513030.SH,None,None,2017-01-04,0.984,100,2016900,A share,U,2016900,1984629.5999999999,0.19848038668314386,0.99,0,{}
513100.SH,None,None,2017-01-04,1.812,100,1108400,A share,U,1108400,2008420.8,0.20085971558948287,1.801,0,{}
518880.SH,None,None,2017-01-04,2.638,100,760000,A share,U,760000,2004880.0,0.2005056044983414,2.626,0,{}
511220.SH,None,None,2017-01-04,97.8,100,20400,A share,U,20400,1995120.0,0.19952951879749956,97.635,0,{}
511010.SH,None,None,2017-01-04,110.589,100,18000,A share,U,18000,1990602.0,0.1990776791257369,110.716,0,{}
513030.SH,None,None,2017-01-05,0.981,100,2016900,A share,U,2016900,1978578.9,0.19803826973250996,0.99,0,{}
513100.SH,None,None,2017-01-05,1.811,100,1108400,A share,U,1108400,2007312.4,0.20091423925960794,1.801,0,{}
518880.SH,None,None,2017-01-05,2.636,100,760000,A share,U,760000,2003360.0,0.200518638933894,2.626,0,{}
511220.SH,None,None,2017-01-05,97.799,100,20400,A share,U,20400,1995099.6,0.19969184586372712,97.635,0,{}
511010.SH,None,None,2017-01-05,110.615,100,18000,A share,U,18000,1991070.0,0.1992885184999742,110.716,0,{}
513030.SH,None,None,2017-01-06,0.98,100,2016900,A share,U,2016900,1976562.0,0.19788973459671225,0.99,0,{}
513100.SH,None,None,2017-01-06,1.812,100,1108400,A share,U,1108400,2008420.8,0.20107937877512394,1.801,0,{}
518880.SH,None,None,2017-01-06,2.633,100,760000,A share,U,760000,2001080.0,0.20034443144550435,2.626,0,{}
511220.SH,None,None,2017-01-06,97.825,100,20400,A share,U,20400,1995630.0,0.19979878751753646,97.635,0,{}
511010.SH,None,None,2017-01-06,110.613,100,18000,A share,U,18000,1991034.0,0.19933864449130884,110.716,0,{}
513030.SH,None,None,2017-01-09,0.981,100,2016900,A share,U,2016900,1978578.9,0.1976162521629982,0.99,0,{}
513100.SH,None,None,2017-01-09,1.823,100,1108400,A share,U,1108400,2020613.2,0.2018145486414935,1.801,0,{}
518880.SH,None,None,2017-01-09,2.645,100,760000,A share,U,760000,2010200.0,0.20077450037401035,2.626,0,{}
511220.SH,None,None,2017-01-09,97.816,100,20400,A share,U,20400,1995446.4000000001,0.19930094218640812,97.635,0,{}
511010.SH,None,None,2017-01-09,110.662,100,18000,A share,U,18000,1991916.0,0.198948333343447,110.716,0,{}
513030.SH,None,None,2017-01-10,0.98,100,2016900,A share,U,2016900,1976562.0,0.1969602388625085,0.99,0,{}
513100.SH,None,None,2017-01-10,1.832,100,1108400,A share,U,1108400,2030588.8,0.20234389565292385,1.801,0,{}
518880.SH,None,None,2017-01-10,2.663,100,760000,A share,U,760000,2023879.9999999998,0.20167537786775908,2.626,0,{}
