code,段数,总持有天数,复合收益,持有期年化,正段,负段,平均段收益
513100.SH,28,1435,2.286669499077344,0.3534421210307286,17,11,0.04651493836742252
513880.SH,24,748,0.6686809444495154,0.283840401883769,15,9,0.022966561403465934
513500.SH,30,1825,1.6828977205445619,0.21820624994552462,24,6,0.03480724899748946
518880.SH,29,1980,1.7244620994842865,0.20293220547520985,21,8,0.03711509947388773
159985.SZ,23,911,0.3754153990089959,0.13622601286804126,10,13,0.017024005572977143
513030.SH,29,1063,0.3886452245369316,0.11933804848376628,17,12,0.012112878424667763
511380.SH,28,1228,0.21975168024298908,0.06082211585626096,13,15,0.0075336293279766086
511010.SH,7,3352,0.2750811988762738,0.026814607415646563,6,1,0.03589704674922286
513080.SH,19,469,0.025818479470457678,0.02003635012321414,10,9,0.0017198763952904585
511220.SH,8,3299,0.03600551702413246,0.003921263517566498,4,4,0.0048251046210682075
510170.SH,28,713,-0.023834029212836616,-0.012272969896581443,9,18,0.002267564541434754
