code,段数,总持有天数,复合收益,持有期年化,平均段收益,正收益段数,负收益段数
513100.SH,28,1435,2.2866694990773433,0.35344212103072836,0.0465149383674225,17,11
513880.SH,24,748,0.6686809444495143,0.2838404018837686,0.022966561403465924,15,9
518880.SH,29,1980,1.7244620994842865,0.20293220547520985,0.03711509947388773,21,8
159985.SZ,23,911,0.3754153990089959,0.13622601286804126,0.017024005572977157,10,13
513030.SH,29,1063,0.3886452245369316,0.11933804848376628,0.012112878424667768,17,12
513500.SH,30,1825,0.36352023091661434,0.06397718937949737,0.019181447894626488,24,6
511380.SH,28,1228,0.21975168024298908,0.06082211585626096,0.0075336293279766086,13,15
511010.SH,7,3352,0.2750811988762738,0.026814607415646563,0.03589704674922286,6,1
513080.SH,19,469,0.025818479470457678,0.02003635012321414,0.0017198763952904585,10,9
511220.SH,8,3299,-0.8970820176598175,-0.2224247288370933,-0.10450767878741148,4,4
510170.SH,28,713,-0.7644731058138325,-0.522982777348107,-0.023743828000672536,9,18
