code,期初市值,期末市值,累计买入,累计卖出,全期盈亏,未实现盈亏,买入笔数,卖出笔数
511010.SH,1992888.0,5323679.284,27396260.5917,-22889193.893999998,-46954663.2017,78649.73021944519,106,62
511220.SH,1991754.0,5319487.632,27697718.9489,-23422478.865210004,-47792464.182110004,173287.29993197508,106,82
513080.SH,0.0,0.0,70343218.24529998,-70173768.987,-140516987.23229998,0.0,22,29
159985.SZ,0.0,5113245.500000001,90253772.9093,-86258458.49669999,-171398985.906,-199905.49999999907,37,43
513880.SH,0.0,0.0,86749835.67249998,-88297621.6923,-175047457.36479998,0.0,30,41
510170.SH,0.0,0.0,88478137.64789999,-88823212.12574998,-177301349.77364996,0.0,37,37
513100.SH,1996228.4,0.0,87343092.5367,-91388296.1241,-180727617.0608,0.0,36,80
513030.SH,1996731.0,4919587.2,94324410.17999999,-89971248.7899,-181372802.7699,-87196.79999999981,48,48
518880.SH,1995760.0,0.0,91056317.6523,-94930994.979,-187983072.6313,0.0,65,83
513500.SH,0.0,0.0,99388102.61380002,-102449970.361116,-201838072.97491604,0.0,54,89
511380.SH,0.0,5305262.5,106955960.91179997,-102324471.5016,-203975169.91339996,-39137.5,52,50
