阶段,策略收益,基准收益,超额,策略回撤,基准回撤,主要持仓,调仓期数
2018 熊初（顶部回落前6个月）,-0.01169528640586781,-0.18263433187700429,0.17093904547113647,-0.044865479449386125,-0.19930972655161072,511010.SH(20%) 511220.SH(20%) 518880.SH(20%) 513500.SH(20%) 513100.SH(20%),9
2018 熊中后段,0.0037775893525684445,-0.2117671184569626,0.21554470780953106,-0.04165898002380053,-0.24303684922372049,511010.SH(20%) 511220.SH(20%) 518880.SH(20%) 513500.SH(20%) 513100.SH(20%),12
2021 牛末高位震荡,0.034388438029332224,0.04337205007685574,-0.008983612047523515,-0.031633713779880335,-0.09565479422628254,511220.SH(20%) 511010.SH(20%) 513030.SH(20%) 513500.SH(20%) 511380.SH(20%),8
2021 震荡走弱（熊前）,0.021422084998844015,0.08096436933218487,-0.059542284333340856,-0.05822509147664934,-0.09131818924660895,511010.SH(20%) 511220.SH(20%) 511380.SH(20%) 513500.SH(20%) 513100.SH(20%),11
2022 熊初急跌,0.0396018134442897,-0.23527733239122706,0.27487914583551676,-0.05403693927111719,-0.28879935864336714,511220.SH(20%) 511010.SH(20%) 518880.SH(20%) 159985.SZ(20%) 513500.SH(20%),7
2022 熊中,-0.009271541343166767,0.03184313864851829,-0.041114679991685055,-0.04366306256949504,-0.1360420534314054,511220.SH(20%) 511010.SH(20%) 511380.SH(20%) 518880.SH(20%) 159985.SZ(20%),11
2023 反弹见顶后阴跌（熊初）,0.10855453505072443,-0.1217651949698969,0.23031973002062134,-0.02441018304603526,-0.14829254544600545,511010.SH(20%) 511220.SH(20%) 511380.SH(20%) 518880.SH(20%) 159985.SZ(20%),14
2024 微盘股危机（熊末急跌）,0.020340221724903573,-0.17847282211289606,0.19881304383779963,-0.013112520702222907,-0.17547037966821066,511010.SH(20%) 511220.SH(20%) 513500.SH(20%) 513880.SH(20%) 513100.SH(20%),2
2024 政策牛后高位回调（牛末/熊初疑似）,0.05967217539446801,-0.14109962018201472,0.20077179557648273,-0.03234495723767605,-0.16484799277164064,511010.SH(20%) 511220.SH(20%) 518880.SH(20%) 511380.SH(20%) 513100.SH(20%),11
2026 上半年（当前，待确认性质）,0.0888141216405447,0.0064549659302644,0.0823591557102803,-0.05704430088485446,-0.16803855003332813,511220.SH(20%) 511010.SH(20%) 511380.SH(20%) 159985.SZ(20%) 513880.SH(20%),12
