阶段,策略收益,沪深300收益,超额,策略回撤,沪深300回撤
2018 熊初,-0.01169528640586781,-0.19864423801154918,0.18694895160568137,-0.044865479449386125,-0.20420407157567844
2018 熊中后段,0.0037775893525684445,-0.15555201111940198,0.15932960047197042,-0.04165898002380053,-0.17222779063631566
2021 牛末高位震荡,0.0319675509753683,-0.09436618253305029,0.1263337335084186,-0.03008776177641037,-0.1475192253116543
2021 震荡走弱,0.021422084998844015,-0.05430088590439586,0.07572297090323987,-0.05822509147664934,-0.09146866144261756
2022 熊初急跌,0.0396018134442897,-0.18705683987231725,0.22665865331660695,-0.05403693927111719,-0.23052115084682712
2022 熊中,-0.009271541343166767,-0.1263719299643441,0.11710038862117733,-0.04366306256949504,-0.2196004030222215
2023 反弹见顶阴跌,0.10855453505072443,-0.14815982601269073,0.25671436106341516,-0.02441018304603526,-0.17984469902352307
2024 微盘危机(熊末急跌),0.020340221724903573,-0.06723480156567407,0.08757502329057765,-0.013112520702222907,-0.06104507803387127
2024.10~2025.4 高位回调+关税冲击,0.05967217539446801,-0.15663635722844893,0.21630853262291694,-0.03234495723767605,-0.1341775815905638
2026 上半年,0.0888141216405447,-0.02177997987014957,0.11059410151069426,-0.05704430088485446,-0.10486080092338224
