code,出现期数,平均权重,最大权重,首次出现,最后出现
511010.SH,204,0.19999998462311944,0.2000139214720204,2017-01-03,2026-07-13
511220.SH,200,0.19999980144321428,0.2000064542846474,2017-01-03,2026-07-13
518880.SH,122,0.19999966413700368,0.2000046400899667,2017-01-03,2025-12-22
513500.SH,114,0.20000003026599175,0.2000117120783991,2017-02-09,2026-06-10
513100.SH,89,0.20000008497007626,0.2000130471847996,2017-01-03,2026-05-26
511380.SH,77,0.20000003989244047,0.2000179222265571,2020-05-12,2026-07-13
513030.SH,67,0.19999990049868002,0.2000128559637264,2017-01-03,2026-07-13
159985.SZ,57,0.20000033390100083,0.2000116129006486,2020-01-10,2026-07-13
513880.SH,47,0.2000002071871203,0.2000057617612686,2019-08-15,2026-06-26
510170.SH,46,0.19999995493078138,0.2000036763074385,2017-02-24,2026-01-23
513080.SH,32,0.20000029844907205,0.2000059251589899,2020-08-14,2026-06-26
