code,start,end,期数
159985.SZ,2020-01-10,2020-02-04,1
159985.SZ,2020-03-05,2020-04-22,1
159985.SZ,2020-05-27,2020-07-30,1
159985.SZ,2020-09-15,2020-12-09,1
159985.SZ,2021-01-11,2021-01-26,1
159985.SZ,2021-09-30,2021-10-22,1
159985.SZ,2021-12-08,2022-04-06,1
159985.SZ,2022-05-11,2022-05-26,1
159985.SZ,2022-06-13,2022-06-28,1
159985.SZ,2022-08-29,2022-11-07,1
159985.SZ,2022-12-22,2023-01-31,1
159985.SZ,2023-06-27,2023-09-27,1
159985.SZ,2023-11-06,2023-11-21,1
159985.SZ,2024-03-18,2024-04-02,1
159985.SZ,2024-05-09,2024-06-11,1
159985.SZ,2024-08-12,2024-08-27,1
159985.SZ,2024-09-30,2024-10-22,1
159985.SZ,2025-02-17,2025-03-19,1
159985.SZ,2025-04-21,2025-05-09,1
159985.SZ,2025-06-11,2025-06-26,1
159985.SZ,2025-08-27,2025-09-26,1
159985.SZ,2025-11-05,2025-12-05,1
159985.SZ,2026-01-08,2026-04-21,1
159985.SZ,2026-07-13,2026-07-13,1
510170.SH,2017-02-24,2017-05-02,1
510170.SH,2017-06-20,2017-08-04,1
510170.SH,2017-08-21,2017-09-20,1
510170.SH,2018-01-15,2018-01-30,1
510170.SH,2018-04-11,2018-04-26,1
510170.SH,2018-11-26,2019-01-29,1
510170.SH,2019-03-07,2019-03-22,1
510170.SH,2019-06-14,2019-07-01,1
510170.SH,2019-09-17,2019-10-09,1
510170.SH,2019-12-25,2020-02-04,1
510170.SH,2020-03-05,2020-04-22,1
510170.SH,2020-06-30,2020-07-30,1
510170.SH,2020-11-09,2020-12-09,1
510170.SH,2021-05-11,2021-05-26,1
510170.SH,2021-07-28,2021-08-12,1
510170.SH,2021-12-08,2021-12-23,1
510170.SH,2022-03-03,2022-03-18,1
510170.SH,2022-04-21,2022-05-11,1
510170.SH,2022-06-13,2022-07-13,1
510170.SH,2023-01-31,2023-02-15,1
510170.SH,2023-08-11,2023-08-28,1
510170.SH,2023-09-27,2023-10-20,1
510170.SH,2024-04-19,2024-05-09,1
510170.SH,2024-08-27,2024-09-11,1
510170.SH,2025-03-19,2025-04-21,1
510170.SH,2025-07-28,2025-08-27,1
510170.SH,2025-11-20,2025-12-05,1
510170.SH,2026-01-08,2026-02-09,1
511010.SH,2017-01-03,2020-06-11,1
511010.SH,2020-07-15,2021-06-10,1
511010.SH,2021-06-28,2021-11-08,1
511010.SH,2021-11-23,2022-11-22,1
511010.SH,2022-12-07,2024-05-24,1
511010.SH,2024-06-11,2025-05-26,1
511010.SH,2025-06-11,2026-07-13,1
511220.SH,2017-01-03,2017-02-24,1
511220.SH,2017-03-13,2019-11-08,1
511220.SH,2019-12-25,2020-07-15,1
511220.SH,2020-07-30,2020-11-24,1
511220.SH,2020-12-24,2021-11-23,1
511220.SH,2021-12-08,2023-01-31,1
511220.SH,2023-03-02,2024-05-24,1
511220.SH,2024-06-11,2026-07-13,1
511380.SH,2020-05-12,2020-05-27,1
511380.SH,2020-06-30,2020-07-30,1
511380.SH,2020-09-30,2020-11-09,1
511380.SH,2020-11-24,2020-12-09,1
511380.SH,2021-01-11,2021-02-10,1
511380.SH,2021-05-11,2021-07-28,1
511380.SH,2021-08-12,2021-10-22,1
511380.SH,2021-11-23,2022-03-03,1
511380.SH,2022-05-11,2022-08-12,1
511380.SH,2022-09-14,2022-11-07,1
511380.SH,2022-12-22,2023-01-09,1
511380.SH,2023-01-31,2023-03-02,1
511380.SH,2023-03-17,2023-05-09,1
511380.SH,2023-07-12,2023-11-06,1
511380.SH,2023-11-21,2023-12-06,1
511380.SH,2024-03-01,2024-03-18,1
511380.SH,2024-04-19,2024-06-26,1
511380.SH,2024-07-26,2024-08-27,1
511380.SH,2024-09-30,2024-10-22,1
511380.SH,2024-11-21,2024-12-06,1
511380.SH,2024-12-23,2025-01-08,1
511380.SH,2025-01-23,2025-05-26,1
511380.SH,2025-06-26,2025-09-11,1
511380.SH,2025-11-20,2025-12-05,1
511380.SH,2026-01-08,2026-03-04,1
511380.SH,2026-04-03,2026-05-11,1
511380.SH,2026-05-26,2026-06-10,1
511380.SH,2026-06-26,2026-07-13,1
513030.SH,2017-01-03,2017-02-09,1
513030.SH,2017-03-13,2017-06-20,1
513030.SH,2017-07-20,2017-08-04,1
513030.SH,2017-09-20,2017-11-28,1
513030.SH,2017-12-13,2018-01-15,1
513030.SH,2018-04-11,2018-05-15,1
513030.SH,2018-08-01,2018-08-16,1
513030.SH,2018-11-09,2019-02-20,1
513030.SH,2019-03-22,2019-07-31,1
513030.SH,2019-09-17,2019-10-09,1
513030.SH,2019-10-24,2019-12-10,1
513030.SH,2020-04-22,2020-05-12,1
513030.SH,2020-06-11,2020-06-30,1
513030.SH,2020-08-14,2020-09-15,1
513030.SH,2020-12-09,2021-01-11,1
513030.SH,2021-03-04,2021-05-11,1
513030.SH,2021-06-10,2021-06-28,1
513030.SH,2021-08-27,2021-09-13,1
513030.SH,2022-11-07,2022-12-22,1
513030.SH,2023-03-02,2023-03-17,1
513030.SH,2023-04-19,2023-05-24,1
513030.SH,2023-11-21,2024-01-08,1
513030.SH,2024-04-02,2024-04-19,1
513030.SH,2024-05-24,2024-06-11,1
513030.SH,2024-07-26,2024-08-12,1
513030.SH,2024-08-27,2024-09-30,1
513030.SH,2024-12-06,2025-01-08,1
513030.SH,2025-05-09,2025-05-26,1
513030.SH,2025-12-22,2026-01-08,1
513030.SH,2026-07-13,2026-07-13,1
513080.SH,2020-08-14,2020-08-31,1
513080.SH,2020-09-15,2020-09-30,1
513080.SH,2020-12-09,2020-12-24,1
513080.SH,2021-03-04,2021-04-06,1
513080.SH,2021-05-26,2021-06-28,1
513080.SH,2021-08-12,2021-08-27,1
513080.SH,2021-10-22,2021-11-23,1
513080.SH,2022-08-12,2022-08-29,1
513080.SH,2022-11-07,2022-12-22,1
513080.SH,2023-01-09,2023-03-17,1
513080.SH,2023-04-19,2023-05-24,1
513080.SH,2023-11-21,2024-01-08,1
513080.SH,2024-03-18,2024-04-02,1
513080.SH,2024-09-11,2024-09-30,1
513080.SH,2025-01-23,2025-02-17,1
513080.SH,2025-05-26,2025-06-11,1
513080.SH,2025-10-21,2025-11-05,1
