year,1,2,3,4,5,6,7,8,9,10,11,12
2017,0.0154,0.0149,0.0076,0.0047,-0.0018,0.0028,0.0332,-0.0026,0.0128,0.0207,0.0062,-0.0009
2018,0.02,-0.0065,-0.0153,-0.0057,0.0091,0.0103,0.0327,0.0035,0.0042,-0.0236,0.0073,-0.017
2019,0.0107,0.0083,0.0055,0.0367,-0.0238,0.0386,0.0066,0.0219,-0.001,0.0145,0.0219,0.0236
2020,0.0083,-0.008,-0.007,0.0337,-0.0053,-0.0107,0.079,0.0141,-0.0335,0.0076,0.0471,-0.0033
2021,-0.02,-0.0019,0.0267,0.0253,-0.0076,0.0127,0.0221,0.0259,-0.0188,-0.0219,-0.0026,0.0177
2022,0.0133,0.0408,0.0058,-0.0199,0.0014,-0.0197,0.0176,-0.0147,0.0073,-0.0008,0.0532,0.0005
2023,0.0056,-0.0051,-0.0019,0.0111,0.0103,0.0354,0.0321,0.0162,-0.0123,-0.0092,0.0079,0.0218
2024,0.0133,0.0171,0.0238,-0.0245,0.0039,0.0278,-0.0056,-0.0143,0.003,0.0016,0.0258,0.0118
2025,0.0162,0.0154,0.0099,0.0063,0.0032,0.0138,0.0161,0.0242,0.0281,0.0475,-0.0305,-0.0017
2026,0.0438,0.0123,-0.0505,0.0505,0.0599,0.0077,-0.0328,,,,,
