区间,天数,策略,沪深300,超额
2018-03-23 ~ 2019-02-04,318,0.019901136776929063,-0.19225938040220358,0.21216051717913265
2019-08-09 ~ 2019-10-24,76,0.026139886153191183,0.054882552210372415,-0.028742666057181232
2019-11-22 ~ 2020-01-02,41,0.04297156488908649,0.06752365281777029,-0.024552087928683797
2020-01-31 ~ 2020-03-05,34,-0.0004569103095819482,0.05065810834436446,-0.05111501865394641
2020-03-06 ~ 2020-06-30,116,0.0025502641898036416,-0.010167041859116432,0.012717306048920074
2021-06-15 ~ 2022-01-11,210,0.034620774639521734,-0.08171378260952755,0.11633455724904929
2022-01-13 ~ 2022-08-23,222,0.033118846077944575,-0.14126275905051522,0.1743816051284598
2022-09-14 ~ 2023-03-14,181,0.017529330998898862,-0.03074838668875235,0.04827771768765121
2023-05-23 ~ 2024-05-22,365,0.1596159843798295,-0.07177029876578633,0.23138628314561582
2024-07-23 ~ 2024-09-26,65,-0.022527846540348118,0.008648845492927215,-0.031176692033275333
2025-03-17 ~ 2025-07-09,114,0.030744342134381153,-0.0037837945768934844,0.03452813671127464
2026-02-09 ~ 2026-04-10,60,-0.003920054337058554,-0.0015139116202952385,-0.0024061427167633154
2026-05-21 ~ 2026-07-18,58,0.021529767042392622,-0.06629970932030482,0.08782947636269745
