区间,天数,策略收益,基准收益,超额
2017-06-19 ~ 2017-10-09,112,0.05944848249004564,0.11065524696491003,-0.04610500388378591
2017-11-23 ~ 2018-01-02,40,0.001088432912982551,-0.016648963263885763,0.018037705269261073
2018-01-09 ~ 2019-02-25,412,0.030494983408047904,-0.21746677877440623,0.31687058831074233
2019-08-05 ~ 2019-12-26,143,0.07884624075934621,0.08507833810125609,-0.00574345383469288
2020-12-11 ~ 2021-01-12,32,0.02715734954289939,0.03530482112624811,-0.007869635509361927
2021-01-13 ~ 2021-02-22,40,-0.008753733302393707,0.017396606874587217,-0.025703191852894047
2021-03-02 ~ 2021-05-14,73,0.025089761925374487,0.005757932569307345,0.019221155240289445
2022-01-25 ~ 2022-08-23,210,0.024516939959529083,-0.07348210767632646,0.10577134931531385
2022-11-16 ~ 2023-03-06,110,0.024247221068917524,0.025469904014829625,-0.0011923148023410546
2023-05-17 ~ 2024-07-19,429,0.19118173942510608,-0.20271877960931606,0.49405468103388017
2024-07-23 ~ 2024-09-27,66,-0.023841901545436306,0.06898713106095866,-0.08683830694412864
2025-03-18 ~ 2025-06-25,99,0.021790005544065627,-0.04018814607679844,0.06457323002162374
