排名,资产类别,投资标的,代码/合约,投资成本(元),持仓市值(元),占投向资产%,持有基金数,持有基金
1,PE,闻道金牛优选2号私募证券投资基金B类,TL258B,51804596.06,56479672.55,19.7663,4,闻道稳健2号、闻道稳健一号、闻道量化进取、闻道金牛优选
2,PE,闻道全周期尊享1号私募证券投资基金B类,AUW65B,47638078.57,48042760.03,16.8136,3,闻道稳健2号、闻道稳健一号、闻道金牛优选
3,PE,闻道进取3号私募证券投资基金B类,TD517B,40900000.0,41043832.89,14.3642,3,闻道稳健2号、闻道量化进取、闻道金牛优选
4,PE,闻道灵动多空1号私募证券投资基金B类,AGX17B,24303225.73,25417219.85,8.8953,4,闻道灵动多空2号、闻道稳健2号、闻道稳健一号、闻道金牛优选
5,PE,闻道进取2号私募证券投资基金B类,VQ608B,9092129.52,11130822.35,3.8955,2,闻道稳健一号、闻道量化进取
6,FND,博时可转债ETF,511380,10556108.9,10501780.4,3.6753,6,闻道全周期尊享1号、闻道灵动多空2号、闻道稳健2号、闻道进取2号、闻道进取3号、闻道金牛优选2号
7,FND,国泰上证5年期国债ETF,511010,3422568.36,3421245.6,1.1973,4,闻道全周期尊享1号、闻道稳健2号、闻道进取3号、闻道金牛优选2号
8,FND,华安日经225ETF,513880,2761000.53,2979840.0,1.0429,6,闻道全周期尊享1号、闻道灵动多空2号、闻道稳健2号、闻道进取2号、闻道进取3号、闻道金牛优选2号
9,STK,新宙邦,300037,2315315.81,2692650.0,0.9424,6,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道进取3号、闻道金牛优选2号
10,FND,海富通上证城投债ETF,511220,2429408.52,2439162.5,0.8536,4,闻道全周期尊享1号、闻道稳健2号、闻道进取3号、闻道金牛优选2号
11,STK,卫星化学,002648,2430992.38,2257389.0,0.79,6,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道进取3号、闻道金牛优选2号
12,FND,华安法国CAC40ETF,513080,2206347.89,2241400.0,0.7844,4,闻道全周期尊享1号、闻道稳健2号、闻道进取3号、闻道金牛优选2号
13,STK,信维通信,300136,1840637.05,1860300.0,0.6511,6,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道进取3号、闻道金牛优选2号
14,STK,苏常柴A,000570,1838854.0,1795615.0,0.6284,6,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道进取3号、闻道金牛优选2号
15,STK,华峰测控,688200,1567401.0,1785340.0,0.6248,6,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道进取3号、闻道金牛优选2号
16,STK,泽璟制药,688266,1617849.98,1761566.0,0.6165,6,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道进取3号、闻道金牛优选2号
17,FND,海富通上证5年期地方政府债ETF,511060,1651234.56,1664693.8,0.5826,5,闻道全周期尊享1号、闻道灵动多空2号、闻道稳健2号、闻道进取2号、闻道金牛优选2号
18,FND,平安中高等级公司债利差因子ETF,511030,1645868.36,1664108.6,0.5824,5,闻道全周期尊享1号、闻道灵动多空2号、闻道稳健2号、闻道进取2号、闻道金牛优选2号
19,FND,华安中债1-5年国开行债券ETF,159649,1649022.48,1663808.6,0.5823,5,闻道全周期尊享1号、闻道灵动多空2号、闻道稳健2号、闻道进取2号、闻道金牛优选2号
20,STK,金海通,603061,1386612.5,1657326.0,0.58,6,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道进取3号、闻道金牛优选2号
21,STK,桐昆股份,601233,1643264.17,1625915.0,0.569,6,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道进取3号、闻道金牛优选2号
22,STK,鼎龙股份,300054,1257261.4,1621341.0,0.5674,6,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道进取3号、闻道金牛优选2号
23,STK,芯碁微装,688630,1468866.0,1483353.0,0.5191,6,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道进取3号、闻道金牛优选2号
24,STK,新锐股份,688257,1296427.77,1446980.0,0.5064,6,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道进取3号、闻道金牛优选2号
25,STK,协创数据,300857,1141330.47,1427580.0,0.4996,6,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道进取3号、闻道金牛优选2号
26,STK,全志科技,300458,1339106.64,1352688.8,0.4734,6,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道进取3号、闻道金牛优选2号
27,STK,深圳华强,000062,1295486.8,1301438.0,0.4555,6,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道进取3号、闻道金牛优选2号
28,STK,万华化学,600309,1376478.92,1299790.0,0.4549,6,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道进取3号、闻道金牛优选2号
29,PE,五矿期货宏观量化股指转债一号集合资产管理计划,SAEH44,1516695.4,1286340.98,0.4502,1,闻道金牛优选
30,STK,高能环境,603588,1079869.26,1096320.0,0.3837,6,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道进取3号、闻道金牛优选2号
31,STK,欧科亿,688308,1102772.0,1090860.0,0.3818,6,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道进取3号、闻道金牛优选2号
32,STK,中稀有色,600259,1027341.56,1087227.0,0.3805,6,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道进取3号、闻道金牛优选2号
33,STK,荣盛石化,002493,1159281.72,1079300.0,0.3777,6,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道进取3号、闻道金牛优选2号
34,STK,中金公司,601995,1062283.77,1062810.0,0.372,6,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道进取3号、闻道金牛优选2号
35,FUT,IC2609,L|IC2609,0.0,1050730.0,0.3677,7,闻道全周期尊享1号、闻道灵动多空1号、闻道进取2号、闻道进取3号、闻道量化进取、闻道金牛优选、闻道金牛优选2号
36,STK,腾讯控股,00700,1535422.56,1044158.27,0.3654,2,闻道稳健2号、闻道金牛优选
37,STK,晶丰明源,688368,1066980.0,1039296.0,0.3637,6,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道进取3号、闻道金牛优选2号
38,FUT,IM2609,L|IM2609,0.0,1025013.33,0.3587,6,闻道全周期尊享1号、闻道灵动多空1号、闻道稳健一号、闻道进取2号、闻道进取3号、闻道金牛优选2号
39,STK,湖南黄金,002155,989645.19,969122.0,0.3392,6,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道进取3号、闻道金牛优选2号
40,FND,华夏中证电网设备主题ETF,159326,775947.0,897840.0,0.3142,2,闻道全周期尊享1号、闻道金牛优选2号
41,FND,交银裕隆纯债债券C,519783,826619.0,859968.44,0.301,1,闻道稳健2号
42,STK,伟测科技,688372,724353.95,855600.0,0.2994,6,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道进取3号、闻道金牛优选2号
43,FND,国联安上证商品ETF,510170,865439.23,833196.0,0.2916,5,闻道全周期尊享1号、闻道灵动多空2号、闻道稳健2号、闻道进取2号、闻道金牛优选2号
44,FND,国泰恒生A股电网设备ETF,561380,703152.7,808032.0,0.2828,2,闻道全周期尊享1号、闻道金牛优选2号
45,STK,瑞芯微,603893,737341.6,753440.0,0.2637,6,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道进取3号、闻道金牛优选2号
46,STK,安集科技,688019,554244.0,746812.0,0.2614,6,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道进取3号、闻道金牛优选2号
47,FND,华泰柏瑞上证红利ETF,510880,802750.0,729000.0,0.2551,1,闻道灵动多空2号
48,STK,中矿资源,002738,746973.16,690183.0,0.2415,6,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道进取3号、闻道金牛优选2号
49,STK,盛屯矿业,600711,730471.3,681237.0,0.2384,6,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道进取3号、闻道金牛优选2号
50,STK,沪电股份,002463,599704.2,672320.0,0.2353,6,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道进取3号、闻道金牛优选2号
51,STK,杰普特,688025,675324.0,658000.0,0.2303,5,闻道全周期尊享1号、闻道灵动多空1号、闻道进取2号、闻道进取3号、闻道金牛优选2号
52,FND,泰康稳健增利债券A,002245,597372.58,632635.99,0.2214,1,闻道稳健2号
53,STK,亿纬锂能,300014,620584.42,630791.0,0.2208,6,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道进取3号、闻道金牛优选2号
54,BND,宏微转债,118040,607183.74,627422.47,0.2196,3,闻道全周期尊享1号、闻道进取3号、闻道金牛优选2号
55,STK,云铝股份,000807,707479.18,617706.0,0.2162,6,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道进取3号、闻道金牛优选2号
56,STK,东威科技,688700,613235.59,616860.0,0.2159,6,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道进取3号、闻道金牛优选2号
57,STK,长川科技,300604,587647.0,614556.0,0.2151,6,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道进取3号、闻道金牛优选2号
58,FUT,沪铝2608,S|沪铝2608,0.0,610324.25,0.2136,6,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道进取3号、闻道金牛优选2号
59,BND,正帆转债,118053,536362.0,607720.7,0.2127,3,闻道全周期尊享1号、闻道进取3号、闻道金牛优选2号
60,STK,山金国际,000975,612205.37,598400.0,0.2094,6,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道进取3号、闻道金牛优选2号
61,STK,贵州茅台,600519,703147.0,592745.0,0.2074,1,闻道稳健2号
62,FND,中银黄金,518890,678370.0,587230.0,0.2055,1,闻道稳健2号
63,BND,密卫转债,113658,551314.71,553099.19,0.1936,3,闻道全周期尊享1号、闻道进取3号、闻道金牛优选2号
64,STK,东山精密,002384,560428.33,550935.0,0.1928,6,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道进取3号、闻道金牛优选2号
65,BND,花园转债,123178,501663.23,543626.84,0.1903,3,闻道全周期尊享1号、闻道进取3号、闻道金牛优选2号
66,FND,上证10年期国债ETF,511260,540034.36,539416.0,0.1888,3,闻道全周期尊享1号、闻道稳健2号、闻道进取3号
67,STK,中瓷电子,003031,546628.0,522870.0,0.183,6,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道进取3号、闻道金牛优选2号
68,BND,微导转债,118058,448463.05,512826.57,0.1795,3,闻道全周期尊享1号、闻道进取3号、闻道金牛优选2号
69,BND,精测转2,123176,441856.41,510414.26,0.1786,3,闻道全周期尊享1号、闻道进取3号、闻道金牛优选2号
70,FND,易方达上证380ETF,530380,502614.4,509289.0,0.1782,2,闻道灵动多空2号、闻道进取2号
71,FND,易方达黄金ETF,159934,597452.72,509180.0,0.1782,5,闻道全周期尊享1号、闻道灵动多空2号、闻道稳健2号、闻道进取3号、闻道金牛优选2号
72,STK,天山铝业,002532,646345.99,508602.0,0.178,6,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道进取3号、闻道金牛优选2号
73,STK,神火股份,000933,622664.57,506680.0,0.1773,6,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道进取3号、闻道金牛优选2号
74,BND,胜蓝转02,123258,408192.6,504854.15,0.1767,3,闻道全周期尊享1号、闻道进取3号、闻道金牛优选2号
75,FND,广发纯债债券A,270048,499600.32,500281.19,0.1751,1,闻道稳健2号
76,BND,天源转债,123213,441954.67,496846.04,0.1739,3,闻道全周期尊享1号、闻道进取3号、闻道金牛优选2号
77,BND,皓元转债,118051,450728.47,494498.64,0.1731,3,闻道全周期尊享1号、闻道进取3号、闻道金牛优选2号
78,BND,文科转债,128127,505780.03,488391.08,0.1709,3,闻道全周期尊享1号、闻道进取3号、闻道金牛优选2号
79,STK,顺络电子,002138,458785.0,482460.0,0.1688,5,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道金牛优选2号
80,BND,声迅转债,127080,453620.54,477587.08,0.1671,3,闻道全周期尊享1号、闻道进取3号、闻道金牛优选2号
81,BND,欧通转债,123241,475394.85,475759.93,0.1665,3,闻道全周期尊享1号、闻道进取3号、闻道金牛优选2号
82,BND,春23转债,113667,457021.07,474822.86,0.1662,3,闻道全周期尊享1号、闻道进取3号、闻道金牛优选2号
83,BND,天准转债,118062,436397.7,474275.12,0.166,3,闻道全周期尊享1号、闻道进取3号、闻道金牛优选2号
84,BND,恒逸转2,127067,483045.19,449562.56,0.1573,3,闻道全周期尊享1号、闻道进取3号、闻道金牛优选2号
85,BND,京源转债,118016,413511.3,438477.87,0.1535,3,闻道全周期尊享1号、闻道进取3号、闻道金牛优选2号
86,BND,重银转债,113056,444179.83,435998.37,0.1526,3,闻道全周期尊享1号、闻道进取3号、闻道金牛优选2号
87,STK,药明康德,603259,359077.23,423334.0,0.1482,3,闻道全周期尊享1号、闻道灵动多空2号、闻道进取2号
88,FUT,纯碱2609,S|纯碱2609,0.0,418292.01,0.1464,6,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道进取3号、闻道金牛优选2号
89,STK,三环集团,300408,386233.91,417250.0,0.146,3,闻道全周期尊享1号、闻道灵动多空2号、闻道进取2号
90,BND,泰坦转债,127096,297860.95,414504.64,0.1451,3,闻道全周期尊享1号、闻道进取3号、闻道金牛优选2号
91,STK,德业股份,605117,418027.26,414102.0,0.1449,3,闻道全周期尊享1号、闻道灵动多空2号、闻道进取2号
92,BND,长海转债,123091,377748.2,408500.12,0.143,3,闻道全周期尊享1号、闻道进取3号、闻道金牛优选2号
93,STK,天晟新材,300169,422814.0,407683.0,0.1427,3,闻道全周期尊享1号、闻道灵动多空2号、闻道进取2号
94,STK,藏格矿业,000408,421422.0,395124.0,0.1383,3,闻道全周期尊享1号、闻道灵动多空2号、闻道进取2号
95,STK,睿创微纳,688002,369898.94,390592.25,0.1367,4,闻道全周期尊享1号、闻道灵动多空2号、闻道进取2号、闻道金牛优选2号
96,FUT,纸浆2609,S|纸浆2609,0.0,386518.08,0.1353,6,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道进取3号、闻道金牛优选2号
97,FUT,烧碱2609,S|烧碱2609,0.0,386028.19,0.1351,6,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道进取3号、闻道金牛优选2号
98,STK,中际旭创,300308,414068.0,381000.0,0.1333,3,闻道全周期尊享1号、闻道灵动多空2号、闻道进取2号
99,STK,湖南裕能,301358,394285.0,379350.0,0.1328,3,闻道全周期尊享1号、闻道灵动多空2号、闻道进取2号
100,STK,潍柴动力,000338,423120.0,376050.0,0.1316,3,闻道全周期尊享1号、闻道灵动多空2号、闻道进取2号
101,STK,思源电气,002028,406336.3,363300.0,0.1271,6,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道进取3号、闻道金牛优选2号
102,STK,源杰科技,688498,152446.53,352682.0,0.1234,2,闻道全周期尊享1号、闻道金牛优选2号
103,FND,红利50,515450,346710.43,324487.0,0.1136,2,闻道稳健2号、闻道量化进取
104,FND,招商中证红利ETF,515080,349998.01,316686.0,0.1108,3,闻道全周期尊享1号、闻道稳健2号、闻道进取3号
105,FND,香港红利,513630,354761.5,314215.8,0.11,2,闻道稳健2号、闻道进取3号
106,STK,中天科技,600522,301429.65,303157.28,0.1061,3,闻道全周期尊享1号、闻道灵动多空2号、闻道进取2号
107,FUT,IF2609,L|IF2609,0.0,300046.76,0.105,6,闻道全周期尊享1号、闻道灵动多空1号、闻道进取2号、闻道进取3号、闻道量化进取、闻道金牛优选2号
108,STK,同花顺,300033,287861.37,289200.0,0.1012,5,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道金牛优选2号
109,FND,港股红利ETF,159691,341816.8,283011.6,0.099,1,闻道稳健2号
110,STK,蜜雪集团,02097,503863.73,258115.69,0.0903,1,闻道稳健2号
111,STK,国城矿业,000688,249368.0,256725.0,0.0898,5,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道金牛优选2号
112,STK,中芯国际,688981,211332.0,222348.0,0.0778,3,闻道全周期尊享1号、闻道灵动多空2号、闻道进取2号
113,STK,东材科技,601208,221146.0,212370.0,0.0743,5,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道金牛优选2号
114,FND,华安黄金易(ETF),518880,218551.85,207774.4,0.0727,4,闻道全周期尊享1号、闻道稳健2号、闻道进取3号、闻道金牛优选
115,FND,上证综指ETF,510210,206400.0,205200.0,0.0718,1,闻道全周期尊享1号
116,FND,天弘越南市场股票发起(QDII)A,008763,147473.72,191414.96,0.067,1,闻道金牛优选2号
117,FND,鹏扬中债-30年期国债ETF,511090,173347.45,175225.5,0.0613,3,闻道全周期尊享1号、闻道稳健2号、闻道进取3号
118,FUT,螺纹钢2610,S|螺纹钢2610,0.0,140030.47,0.049,6,闻道全周期尊享1号、闻道灵动多空1号、闻道灵动多空2号、闻道进取2号、闻道进取3号、闻道金牛优选2号
119,FND,华夏饲料豆粕期货ETF,159985,143636.02,137362.0,0.0481,3,闻道全周期尊享1号、闻道稳健2号、闻道进取3号
120,FND,100红利,515180,145360.0,127700.0,0.0447,1,闻道进取2号
121,FND,华夏上证50ETF,510050,123130.05,126094.7,0.0441,3,闻道全周期尊享1号、闻道稳健2号、闻道进取3号
122,FND,大成有色金属期货ETF,159980,120688.2,122126.4,0.0427,3,闻道全周期尊享1号、闻道稳健2号、闻道进取3号
123,BND,回天转债,123165,113744.42,117118.16,0.041,2,闻道全周期尊享1号、闻道金牛优选2号
124,BND,南药转债,110098,114818.43,116307.86,0.0407,2,闻道全周期尊享1号、闻道金牛优选2号
125,BND,强力转债,123076,106784.84,115666.34,0.0405,2,闻道全周期尊享1号、闻道金牛优选2号
126,BND,灵康转债,113610,114299.65,115298.12,0.0404,2,闻道全周期尊享1号、闻道金牛优选2号
127,BND,鹤21转债,113632,113146.74,115087.37,0.0403,2,闻道全周期尊享1号、闻道金牛优选2号
128,BND,冠宇转债,118024,115368.22,114320.96,0.04,2,闻道全周期尊享1号、闻道金牛优选2号
129,BND,盛航转债,127099,112120.56,113520.06,0.0397,2,闻道全周期尊享1号、闻道金牛优选2号
130,BND,科顺转债,123216,121248.84,112299.39,0.0393,2,闻道全周期尊享1号、闻道金牛优选2号
131,STK,新易盛,300502,95360.61,109260.0,0.0382,3,闻道灵动多空2号、闻道进取2号、闻道进取3号
132,BND,共同转债,123171,111313.32,108486.1,0.038,2,闻道全周期尊享1号、闻道金牛优选2号
