排名,资产类别,投资标的,代码/合约,投资成本(元),市值/名义价值(元),占10基金净资产%,备注
1,FUT,IC2609,L|IC2609,61059395.25,62579265.4,12.1896,名义价值口径
2,FUT,IF2609,L|IF2609,38436821.55,38936831.89,7.5844,名义价值口径
3,FUT,IM2609,L|IM2609,30484315.38,32203690.7,6.2728,名义价值口径
4,FUT,IH2609,L|IH2609,17501554.68,17435350.86,3.3962,名义价值口径
5,FND,博时可转债ETF,511380,15205506.19,15141521.36,2.9494,市值口径
6,FUT,黄金2612,L|黄金2612,8435957.29,7178689.47,1.3983,名义价值口径
7,FUT,锡2612,L|锡2612,7157936.08,6816161.31,1.3277,名义价值口径
8,FUT,沪铜2612,L|沪铜2612,6098882.23,5997615.18,1.1683,名义价值口径
9,FND,国泰上证5年期国债ETF,511010,5840275.13,5837312.0,1.137,市值口径
10,FND,华安日经225ETF,513880,4585054.03,4977733.8,0.9696,市值口径
11,STK,新宙邦,300037,3720993.99,4344869.79,0.8463,市值口径
12,FND,海富通上证城投债ETF,511220,4217752.03,4235212.43,0.825,市值口径
13,FND,华安法国CAC40ETF,513080,3998088.69,4061575.15,0.7911,市值口径
14,STK,卫星化学,002648,3902058.44,3623288.64,0.7058,市值口径
15,FUT,棉一2609,L|棉一2609,3559282.0,3584159.29,0.6981,名义价值口径
16,STK,信维通信,300136,2965070.69,2996455.75,0.5837,市值口径
17,STK,泽璟制药,688266,2665821.03,2902382.05,0.5653,市值口径
18,STK,华峰测控,688200,2539030.26,2893854.58,0.5637,市值口径
19,STK,苏常柴Ａ,000570,2859656.03,2787413.49,0.5429,市值口径
20,STK,金海通,603061,2283583.69,2730581.72,0.5319,市值口径
21,STK,桐昆股份,601233,2609753.88,2600735.2,0.5066,市值口径
22,STK,鼎龙股份,300054,1981611.78,2572443.21,0.5011,市值口径
23,STK,芯碁微装,688630,2419380.18,2443559.24,0.476,市值口径
24,FUT,锡2609,L|锡2609,2493108.85,2371664.25,0.462,名义价值口径
25,STK,新锐股份,688257,2069473.07,2330792.26,0.454,市值口径
26,STK,协创数据,300857,1804379.69,2277811.83,0.4437,市值口径
27,STK,全志科技,300458,2207288.62,2229721.38,0.4343,市值口径
28,FND,华安中债1-5年国开行债券ETF,159649,2177893.14,2197071.51,0.428,市值口径
29,FND,海富通上证5年期地方政府债ETF,511060,2173388.22,2191003.87,0.4268,市值口径
30,FND,平安中高等级公司债利差因子ETF,511030,2166914.5,2190233.65,0.4266,市值口径
31,STK,深圳华强,000062,2123860.42,2133717.76,0.4156,市值口径
32,STK,万华化学,600309,2222894.46,2098342.0,0.4087,市值口径
33,STK,高能环境,603588,1777815.67,1804954.97,0.3516,市值口径
34,STK,欧科亿,688308,1814610.7,1795907.16,0.3498,市值口径
35,STK,中稀有色,600259,1693015.03,1788669.83,0.3484,市值口径
36,FND,华夏中证电网设备主题ETF,159326,1525131.84,1768099.2,0.3444,市值口径
37,STK,中金公司,601995,1749971.85,1750962.57,0.3411,市值口径
38,STK,晶丰明源,688368,1744871.94,1700669.05,0.3313,市值口径
39,STK,荣盛石化,002493,1820893.23,1695168.88,0.3302,市值口径
40,FUT,IM2612,L|IM2612,1631600.0,1643920.0,0.3202,名义价值口径
41,FND,国泰恒生A股电网设备ETF,561380,1377978.57,1586424.94,0.309,市值口径
42,STK,湖南黄金,002155,1586502.21,1552696.9,0.3024,市值口径
